Demographics,nan,nan,Male,Female,,Dublin,Leinster,Munster,Connacht,Ulster (ROI Only),,18-24,25-34,35-44,45-54,55-64,,Always,Often,Sometimes,Rarely,Never,,Always,Often,Sometimes,Rarely,Never,,Denny's,Jameson,M&S,Baileys,Coca Cola,Smirnoff,Tesco,Tayto,nan,Dunnes Stores,Cadbury's,Powers,Lindt,Ballymaloe,Heineken,Other Brands,Roses,Absolut,Guinness,Quality Street,No Group,,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email,Other,,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email,Other,,nan,nan,nan
Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24%,,26%,22%, ,26%,21%,23%,31%,21%, ,47%,25%,22%,20%,14%, ,0.395256916996047,0.260416666666667,0.14176245210728,0.0459770114942529,0.0588235294117647, ,0.5,0.386617100371747,0.162227602905569,0.127777777777778,0.12280701754386, ,0.0833333333333333,0.247619047619048,0.166666666666667,0.251633986928105,0.228070175438596,0.283018867924528,0.340909090909091,0.21505376344086,0.111111111111111,0.321428571428571,0.254681647940075,0.181818181818182,0.188679245283019,0.0555555555555556,0.428571428571429,0.179245283018868,0.196428571428571,0.25,0.324786324786325,0.210526315789474,0, ,0.197761194029851,0.238095238095238,0.224489795918367,0.355555555555556,0.370967741935484,0.222222222222222,0.264150943396226,0.276595744680851,0.219178082191781,0.130434782608696,0.181818181818182, ,0.248945147679325,0.213815789473684,0.247663551401869,0.287037037037037,0.301435406698565,0.283018867924528,0.279220779220779,0.282122905027933,0.26813880126183,0.333333333333333,0.1, ,0.331521739130435,0.222222222222222,0.231404958677686
"Fashion & Clothing
 - Same",451,,236,215, ,130,123,128,50,20, ,53,93,115,105,85, ,107,167,130,41,6, ,32,107,207,84,21, ,4,50,10,126,27,25,12,45,15,8,123,5,28,12,23,58,25,5,46,18,0, ,121,26,20,20,25,10,52,78,65,27,7, ,212,151,101,95,90,52,126,146,138,72,6, ,71,66,334
,45%,,48%,42%, ,46%,45%,46%,44%,38%, ,41%,41%,44%,50%,48%, ,0.422924901185771,0.434895833333333,0.498084291187739,0.471264367816092,0.352941176470588, ,0.390243902439024,0.397769516728625,0.501210653753027,0.466666666666667,0.368421052631579, ,0.333333333333333,0.476190476190476,0.416666666666667,0.411764705882353,0.473684210526316,0.471698113207547,0.272727272727273,0.483870967741935,0.555555555555556,0.285714285714286,0.460674157303371,0.454545454545455,0.528301886792453,0.666666666666667,0.365079365079365,0.547169811320755,0.446428571428571,0.3125,0.393162393162393,0.473684210526316,0, ,0.451492537313433,0.412698412698413,0.408163265306122,0.444444444444444,0.403225806451613,0.555555555555556,0.490566037735849,0.414893617021277,0.445205479452055,0.58695652173913,0.636363636363636, ,0.447257383966245,0.496710526315789,0.47196261682243,0.439814814814815,0.430622009569378,0.490566037735849,0.409090909090909,0.407821229050279,0.435331230283912,0.387096774193548,0.6, ,0.385869565217391,0.458333333333333,0.460055096418733
"Fashion & Clothing
 - Less",309,,126,183, ,78,95,86,28,22, ,15,76,89,63,66, ,46,117,94,42,10, ,9,58,139,73,29, ,7,29,10,103,17,13,17,28,9,11,76,4,15,5,13,29,20,7,33,12,0, ,94,22,18,9,14,4,26,58,49,13,2, ,144,88,60,59,56,24,96,111,94,52,3, ,52,46,224
,31%,,26%,36%, ,28%,34%,31%,25%,42%, ,12%,34%,34%,30%,38%, ,0.181818181818182,0.3046875,0.360153256704981,0.482758620689655,0.588235294117647, ,0.109756097560976,0.215613382899628,0.336561743341404,0.405555555555556,0.508771929824561, ,0.583333333333333,0.276190476190476,0.416666666666667,0.336601307189543,0.298245614035088,0.245283018867925,0.386363636363636,0.301075268817204,0.333333333333333,0.392857142857143,0.284644194756554,0.363636363636364,0.283018867924528,0.277777777777778,0.206349206349206,0.273584905660377,0.357142857142857,0.4375,0.282051282051282,0.315789473684211,0, ,0.350746268656716,0.349206349206349,0.36734693877551,0.2,0.225806451612903,0.222222222222222,0.245283018867925,0.308510638297872,0.335616438356164,0.282608695652174,0.181818181818182, ,0.30379746835443,0.289473684210526,0.280373831775701,0.273148148148148,0.267942583732057,0.226415094339623,0.311688311688312,0.310055865921788,0.296529968454259,0.279569892473118,0.3, ,0.282608695652174,0.319444444444444,0.308539944903581
"Socialising out of home e.g In Restaurants, bars & cafes - More ",284,,162,122, ,94,80,67,34,9, ,64,64,75,47,34, ,105,127,39,11,2, ,43,111,92,32,6, ,3,35,8,86,15,14,13,30,5,7,69,5,9,3,29,27,11,7,49,9,0, ,68,15,10,16,22,6,25,65,41,13,3, ,130,75,62,63,77,44,90,114,104,54,2, ,62,45,201
,28%,,33%,24%, ,33%,29%,24%,30%,17%, ,50%,28%,29%,22%,19%, ,0.41501976284585,0.330729166666667,0.149425287356322,0.126436781609195,0.117647058823529, ,0.524390243902439,0.412639405204461,0.222760290556901,0.177777777777778,0.105263157894737, ,0.25,0.333333333333333,0.333333333333333,0.281045751633987,0.263157894736842,0.264150943396226,0.295454545454545,0.32258064516129,0.185185185185185,0.25,0.258426966292135,0.454545454545455,0.169811320754717,0.166666666666667,0.46031746031746,0.254716981132075,0.196428571428571,0.4375,0.418803418803419,0.236842105263158,0, ,0.253731343283582,0.238095238095238,0.204081632653061,0.355555555555556,0.354838709677419,0.333333333333333,0.235849056603774,0.345744680851064,0.280821917808219,0.282608695652174,0.272727272727273, ,0.274261603375527,0.246710526315789,0.289719626168224,0.291666666666667,0.368421052631579,0.415094339622642,0.292207792207792,0.318435754189944,0.32807570977918,0.290322580645161,0.2, ,0.33695652173913,0.3125,0.276859504132231
"Socialising out of home e.g In Restaurants, bars & cafes - Same",368,,195,173, ,105,101,99,42,21, ,35,86,101,73,73, ,89,131,108,34,6, ,32,95,149,70,22, ,2,40,5,115,20,16,15,27,12,9,107,3,20,10,26,39,23,3,33,13,0, ,102,22,22,20,20,7,41,62,52,15,5, ,175,116,81,81,68,37,110,123,92,66,5, ,57,48,276
,37%,,40%,34%, ,37%,37%,35%,37%,40%, ,27%,38%,39%,35%,41%, ,0.351778656126482,0.341145833333333,0.413793103448276,0.390804597701149,0.352941176470588, ,0.390243902439024,0.353159851301115,0.360774818401937,0.388888888888889,0.385964912280702, ,0.166666666666667,0.380952380952381,0.208333333333333,0.375816993464052,0.350877192982456,0.30188679245283,0.340909090909091,0.290322580645161,0.444444444444444,0.321428571428571,0.400749063670412,0.272727272727273,0.377358490566038,0.555555555555556,0.412698412698413,0.367924528301887,0.410714285714286,0.1875,0.282051282051282,0.342105263157895,0, ,0.380597014925373,0.349206349206349,0.448979591836735,0.444444444444444,0.32258064516129,0.388888888888889,0.386792452830189,0.329787234042553,0.356164383561644,0.326086956521739,0.454545454545455, ,0.369198312236287,0.381578947368421,0.378504672897196,0.375,0.325358851674641,0.349056603773585,0.357142857142857,0.343575418994413,0.290220820189274,0.354838709677419,0.5, ,0.309782608695652,0.333333333333333,0.380165289256198
"Socialising out of home e.g In Restaurants, bars & cafes - Less",350,,133,217, ,82,95,113,37,23, ,30,75,85,91,69, ,59,126,114,42,9, ,7,63,172,78,29, ,7,30,11,105,22,23,16,36,10,12,91,3,24,5,8,40,22,6,35,16,0, ,98,26,17,9,20,5,40,61,53,18,3, ,169,113,71,72,64,25,108,121,121,66,3, ,65,51,249
,35%,,27%,42%, ,29%,34%,41%,33%,43%, ,23%,33%,33%,43%,39%, ,0.233201581027668,0.328125,0.436781609195402,0.482758620689655,0.529411764705882, ,0.0853658536585366,0.234200743494424,0.416464891041162,0.433333333333333,0.508771929824561, ,0.583333333333333,0.285714285714286,0.458333333333333,0.343137254901961,0.385964912280702,0.433962264150943,0.363636363636364,0.387096774193548,0.37037037037037,0.428571428571429,0.340823970037453,0.272727272727273,0.452830188679245,0.277777777777778,0.126984126984127,0.377358490566038,0.392857142857143,0.375,0.299145299145299,0.421052631578947,0, ,0.365671641791045,0.412698412698413,0.346938775510204,0.2,0.32258064516129,0.277777777777778,0.377358490566038,0.324468085106383,0.363013698630137,0.391304347826087,0.272727272727273, ,0.356540084388186,0.371710526315789,0.331775700934579,0.333333333333333,0.30622009569378,0.235849056603774,0.350649350649351,0.337988826815642,0.381703470031546,0.354838709677419,0.3, ,0.353260869565217,0.354166666666667,0.34297520661157
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Question 2 - How frequently do you typically buy something that you didn’t plan to buy, when shopping in a supermarket, grocery store or off licence at Christmas time?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1002,,490,512, ,281,276,279,113,53, ,129,225,261,211,176, ,253,384,261,87,17, ,82,269,413,180,57, ,12,105,24,306,57,53,44,93,27,28,267,11,53,18,63,106,56,16,117,38,66, ,268,63,49,45,62,18,106,188,146,46,11, ,474,304,214,216,209,106,308,358,317,186,10, ,184,144,726
,100%,,49%,51%, ,28%,28%,28%,11%,5%, ,13%,22%,26%,21%,18%, ,25%,38%,26%,9%,2%, ,8%,27%,41%,18%,6%, ,1%,7%,2%,20%,4%,3%,3%,6%,2%,2%,17%,1%,3%,1%,4%,7%,4%,1%,8%,2%,4%, ,27%,6%,5%,4%,6%,2%,11%,19%,15%,5%,1%, ,47%,30%,21%,22%,21%,11%,31%,36%,32%,19%,1%, ,18%,14%,72%
Always,253,,102,151, ,63,78,65,32,15, ,36,59,68,54,36, ,0,0,0,0,0, ,51,106,67,23,6, ,5,37,4,86,13,13,8,19,4,5,75,4,14,3,20,19,13,4,33,9,0, ,67,7,13,10,18,7,28,44,44,12,3, ,121,84,63,64,60,36,93,105,80,56,1, ,59,43,166
,25%,,0.208163265306122,0.294921875, ,0.224199288256228,0.282608695652174,0.232974910394265,0.283185840707965,0.283018867924528, ,0.27906976744186,0.262222222222222,0.260536398467433,0.255924170616114,0.204545454545455, ,0,0,0,0,0, ,0.621951219512195,0.394052044609665,0.162227602905569,0.127777777777778,0.105263157894737, ,0.416666666666667,0.352380952380952,0.166666666666667,0.281045751633987,0.228070175438596,0.245283018867925,0.181818181818182,0.204301075268817,0.148148148148148,0.178571428571429,0.280898876404494,0.363636363636364,0.264150943396226,0.166666666666667,0.317460317460317,0.179245283018868,0.232142857142857,0.25,0.282051282051282,0.236842105263158,0, ,0.25,0.111111111111111,0.26530612244898,0.222222222222222,0.290322580645161,0.388888888888889,0.264150943396226,0.234042553191489,0.301369863013699,0.260869565217391,0.272727272727273, ,0.255274261603376,0.276315789473684,0.294392523364486,0.296296296296296,0.287081339712919,0.339622641509434,0.301948051948052,0.293296089385475,0.252365930599369,0.301075268817204,0.1, ,0.320652173913043,0.298611111111111,0.228650137741047
Often,384,,187,197, ,116,99,97,47,25, ,50,87,98,85,64, ,0,0,0,0,0, ,23,121,172,55,12, ,3,36,10,119,22,20,23,43,4,10,108,2,18,6,21,42,21,6,49,16,0, ,97,28,18,16,26,3,50,81,49,16,0, ,181,107,75,78,85,39,126,148,129,76,2, ,73,58,272
,38%,,0.381632653061225,0.384765625, ,0.412811387900356,0.358695652173913,0.347670250896057,0.415929203539823,0.471698113207547, ,0.387596899224806,0.386666666666667,0.375478927203065,0.402843601895735,0.363636363636364, ,0,0,0,0,0, ,0.280487804878049,0.449814126394052,0.416464891041162,0.305555555555556,0.210526315789474, ,0.25,0.342857142857143,0.416666666666667,0.388888888888889,0.385964912280702,0.377358490566038,0.522727272727273,0.462365591397849,0.148148148148148,0.357142857142857,0.404494382022472,0.181818181818182,0.339622641509434,0.333333333333333,0.333333333333333,0.39622641509434,0.375,0.375,0.418803418803419,0.421052631578947,0, ,0.361940298507463,0.444444444444444,0.36734693877551,0.355555555555556,0.419354838709677,0.166666666666667,0.471698113207547,0.430851063829787,0.335616438356164,0.347826086956522,0, ,0.381856540084388,0.351973684210526,0.350467289719626,0.361111111111111,0.406698564593301,0.367924528301887,0.409090909090909,0.41340782122905,0.406940063091483,0.408602150537634,0.2, ,0.396739130434783,0.402777777777778,0.37465564738292
Sometimes ,261,,140,121, ,77,75,82,20,7, ,34,57,80,39,51, ,0,0,0,0,0, ,6,36,139,66,14, ,3,25,8,74,18,15,9,26,11,8,61,3,17,9,19,28,16,4,22,9,0, ,72,16,14,13,12,5,21,45,42,14,7, ,130,80,52,52,49,21,69,82,85,37,6, ,43,35,199
,26%,,0.285714285714286,0.236328125, ,0.274021352313167,0.271739130434783,0.293906810035842,0.176991150442478,0.132075471698113, ,0.263565891472868,0.253333333333333,0.306513409961686,0.184834123222749,0.289772727272727, ,0,0,0,0,0, ,0.0731707317073171,0.133828996282528,0.336561743341404,0.366666666666667,0.245614035087719, ,0.25,0.238095238095238,0.333333333333333,0.241830065359477,0.315789473684211,0.283018867924528,0.204545454545455,0.279569892473118,0.407407407407407,0.285714285714286,0.228464419475655,0.272727272727273,0.320754716981132,0.5,0.301587301587302,0.264150943396226,0.285714285714286,0.25,0.188034188034188,0.236842105263158,0, ,0.26865671641791,0.253968253968254,0.285714285714286,0.288888888888889,0.193548387096774,0.277777777777778,0.19811320754717,0.23936170212766,0.287671232876712,0.304347826086957,0.636363636363636, ,0.274261603375527,0.263157894736842,0.242990654205607,0.240740740740741,0.23444976076555,0.19811320754717,0.224025974025974,0.229050279329609,0.26813880126183,0.198924731182796,0.6, ,0.233695652173913,0.243055555555556,0.274104683195592
Rarely ,87,,51,36, ,19,23,27,12,6, ,6,19,14,30,18, ,0,0,0,0,0, ,2,6,32,32,15, ,1,6,2,25,3,4,3,5,6,3,20,1,4,0,2,12,6,2,13,4,0, ,28,10,4,5,5,2,5,15,10,3,0, ,36,31,24,19,13,7,20,12,20,16,0, ,7,7,75
,9%,,0.104081632653061,0.0703125, ,0.0676156583629893,0.0833333333333333,0.0967741935483871,0.106194690265487,0.113207547169811, ,0.0465116279069767,0.0844444444444444,0.053639846743295,0.14218009478673,0.102272727272727, ,0,0,0,0,0, ,0.024390243902439,0.0223048327137546,0.0774818401937046,0.177777777777778,0.263157894736842, ,0.0833333333333333,0.0571428571428571,0.0833333333333333,0.0816993464052288,0.0526315789473684,0.0754716981132075,0.0681818181818182,0.0537634408602151,0.222222222222222,0.107142857142857,0.0749063670411985,0.0909090909090909,0.0754716981132075,0,0.0317460317460317,0.113207547169811,0.107142857142857,0.125,0.111111111111111,0.105263157894737,0, ,0.104477611940299,0.158730158730159,0.0816326530612245,0.111111111111111,0.0806451612903226,0.111111111111111,0.0471698113207547,0.0797872340425532,0.0684931506849315,0.0652173913043478,0, ,0.0759493670886076,0.101973684210526,0.11214953271028,0.087962962962963,0.062200956937799,0.0660377358490566,0.0649350649350649,0.0335195530726257,0.0630914826498423,0.0860215053763441,0, ,0.0380434782608696,0.0486111111111111,0.103305785123967
Never ,17,,10,7, ,6,1,8,2,0, ,3,3,1,3,7, ,0,0,0,0,0, ,0,0,3,4,10, ,0,1,0,2,1,1,1,0,2,2,3,1,0,0,1,5,0,0,0,0,0, ,4,2,0,1,1,1,2,3,1,1,1, ,6,2,0,3,2,3,0,11,3,1,1, ,2,1,14
,2%,,0.0204081632653061,0.013671875, ,0.0213523131672598,0.0036231884057971,0.028673835125448,0.0176991150442478,0, ,0.0232558139534884,0.0133333333333333,0.00383141762452107,0.014218009478673,0.0397727272727273, ,0,0,0,0,0, ,0,0,0.00726392251815981,0.0222222222222222,0.175438596491228, ,0,0.00952380952380952,0,0.0065359477124183,0.0175438596491228,0.0188679245283019,0.0227272727272727,0,0.0740740740740741,0.0714285714285714,0.0112359550561798,0.0909090909090909,0,0,0.0158730158730159,0.0471698113207547,0,0,0,0,0, ,0.0149253731343284,0.0317460317460317,0,0.0222222222222222,0.0161290322580645,0.0555555555555556,0.0188679245283019,0.0159574468085106,0.00684931506849315,0.0217391304347826,0.0909090909090909, ,0.0126582278481013,0.00657894736842105,0,0.0138888888888889,0.00956937799043062,0.0283018867924528,0,0.0307262569832402,0.00946372239747634,0.00537634408602151,0.1, ,0.0108695652173913,0.00694444444444444,0.0192837465564738
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Question 3 - To what extent are the purchase decisions you make at Christmas in a supermarket, grocery store or off licence, impacted by the advertising you see?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1001,,490,512, ,281,276,279,113,53, ,129,225,261,211,176, ,253,384,261,87,17, ,82,269,413,180,57, ,12,105,24,306,57,53,44,93,27,28,267,11,53,18,63,106,56,16,117,38,66, ,268,63,49,45,62,18,106,188,146,46,11, ,474,304,214,216,209,106,308,358,317,186,10, ,184,144,726
,100%,,49%,51%, ,28%,28%,28%,11%,5%, ,13%,22%,26%,21%,18%, ,25%,38%,26%,9%,2%, ,8%,27%,41%,18%,6%, ,1%,7%,2%,20%,4%,3%,3%,6%,2%,2%,17%,1%,3%,1%,4%,7%,4%,1%,8%,2%,4%, ,27%,6%,5%,4%,6%,2%,11%,19%,15%,5%,1%, ,47%,30%,21%,22%,21%,11%,31%,36%,32%,19%,1%, ,18%,14%,72%
Always ,82,,44,38, ,19,24,20,12,7, ,16,18,25,12,11, ,51,23,6,2,0, ,0,0,0,0,0, ,0,14,1,23,2,3,8,2,1,3,17,3,2,1,7,12,4,1,10,2,0, ,14,6,5,1,9,2,7,22,11,5,0, ,36,27,16,20,28,20,39,35,23,19,1, ,18,10,58
,8%,,0.0897959183673469,0.0743639921722113, ,0.0678571428571429,0.0869565217391304,0.0716845878136201,0.106194690265487,0.132075471698113, ,0.124031007751938,0.08,0.0957854406130268,0.0568720379146919,0.0628571428571429, ,0.201581027667984,0.0600522193211488,0.0229885057471264,0.0229885057471264,0, ,0,0,0,0,0, ,0,0.133333333333333,0.0416666666666667,0.0751633986928105,0.0350877192982456,0.0566037735849057,0.181818181818182,0.021505376344086,0.037037037037037,0.107142857142857,0.0636704119850187,0.272727272727273,0.0377358490566038,0.0555555555555556,0.111111111111111,0.113207547169811,0.0714285714285714,0.0625,0.0854700854700855,0.0526315789473684,0, ,0.052434456928839,0.0952380952380952,0.102040816326531,0.0222222222222222,0.145161290322581,0.111111111111111,0.0660377358490566,0.117021276595745,0.0753424657534247,0.108695652173913,0, ,0.0759493670886076,0.0891089108910891,0.0747663551401869,0.0925925925925926,0.133971291866029,0.188679245283019,0.126623376623377,0.0980392156862745,0.0727848101265823,0.102150537634409,0.1, ,0.0978260869565217,0.0699300699300699,0.0798898071625344
Often ,269,,138,131, ,71,84,69,27,18, ,43,66,62,56,42, ,106,121,36,6,0, ,0,0,0,0,0, ,4,35,6,85,13,13,12,32,3,9,65,2,12,2,28,25,12,7,41,10,0, ,55,18,18,17,19,6,35,42,42,17,0, ,138,68,60,54,64,37,101,111,94,65,0, ,57,35,190
,27%,,0.281632653061224,0.256360078277886, ,0.253571428571429,0.304347826086957,0.247311827956989,0.238938053097345,0.339622641509434, ,0.333333333333333,0.293333333333333,0.237547892720307,0.265402843601896,0.24, ,0.41897233201581,0.315926892950392,0.137931034482759,0.0689655172413793,0, ,0,0,0,0,0, ,0.333333333333333,0.333333333333333,0.25,0.277777777777778,0.228070175438596,0.245283018867925,0.272727272727273,0.344086021505376,0.111111111111111,0.321428571428571,0.243445692883895,0.181818181818182,0.226415094339623,0.111111111111111,0.444444444444444,0.235849056603774,0.214285714285714,0.4375,0.35042735042735,0.263157894736842,0, ,0.205992509363296,0.285714285714286,0.36734693877551,0.377777777777778,0.306451612903226,0.333333333333333,0.330188679245283,0.223404255319149,0.287671232876712,0.369565217391304,0, ,0.291139240506329,0.224422442244224,0.280373831775701,0.25,0.30622009569378,0.349056603773585,0.327922077922078,0.310924369747899,0.29746835443038,0.349462365591398,0, ,0.309782608695652,0.244755244755245,0.261707988980716
Sometimes ,413,,185,228, ,132,96,117,50,18, ,43,95,103,93,79, ,67,172,139,32,3, ,0,0,0,0,0, ,4,32,13,133,27,24,17,37,7,12,126,6,26,12,21,42,26,7,38,17,0, ,125,28,13,13,23,8,44,83,53,20,3, ,218,144,87,92,89,34,124,137,137,78,3, ,69,74,296
,41%,,0.377551020408163,0.446183953033268, ,0.471428571428571,0.347826086956522,0.419354838709677,0.442477876106195,0.339622641509434, ,0.333333333333333,0.422222222222222,0.39463601532567,0.440758293838863,0.451428571428571, ,0.264822134387352,0.449086161879896,0.532567049808429,0.367816091954023,0.176470588235294, ,0,0,0,0,0, ,0.333333333333333,0.304761904761905,0.541666666666667,0.434640522875817,0.473684210526316,0.452830188679245,0.386363636363636,0.397849462365591,0.259259259259259,0.428571428571429,0.471910112359551,0.545454545454545,0.490566037735849,0.666666666666667,0.333333333333333,0.39622641509434,0.464285714285714,0.4375,0.324786324786325,0.447368421052632,0, ,0.468164794007491,0.444444444444444,0.26530612244898,0.288888888888889,0.370967741935484,0.444444444444444,0.415094339622642,0.441489361702128,0.363013698630137,0.434782608695652,0.272727272727273, ,0.459915611814346,0.475247524752475,0.406542056074766,0.425925925925926,0.425837320574163,0.320754716981132,0.402597402597403,0.38375350140056,0.433544303797468,0.419354838709677,0.3, ,0.375,0.517482517482518,0.40771349862259
Rarely ,180,,86,94, ,40,57,60,15,8, ,22,36,51,38,33, ,23,55,66,32,4, ,0,0,0,0,0, ,3,20,3,52,12,9,6,18,8,1,54,0,12,2,4,16,10,1,21,6,0, ,58,6,8,9,8,1,14,37,31,3,5, ,69,54,38,36,24,13,33,57,50,17,4, ,33,19,136
,18%,,0.175510204081633,0.183953033268102, ,0.142857142857143,0.206521739130435,0.21505376344086,0.132743362831858,0.150943396226415, ,0.170542635658915,0.16,0.195402298850575,0.180094786729858,0.188571428571429, ,0.0909090909090909,0.143603133159269,0.252873563218391,0.367816091954023,0.235294117647059, ,0,0,0,0,0, ,0.25,0.19047619047619,0.125,0.169934640522876,0.210526315789474,0.169811320754717,0.136363636363636,0.193548387096774,0.296296296296296,0.0357142857142857,0.202247191011236,0,0.226415094339623,0.111111111111111,0.0634920634920635,0.150943396226415,0.178571428571429,0.0625,0.179487179487179,0.157894736842105,0, ,0.217228464419476,0.0952380952380952,0.163265306122449,0.2,0.129032258064516,0.0555555555555556,0.132075471698113,0.196808510638298,0.212328767123288,0.0652173913043478,0.454545454545455, ,0.145569620253165,0.178217821782178,0.177570093457944,0.166666666666667,0.114832535885167,0.122641509433962,0.107142857142857,0.159663865546218,0.158227848101266,0.0913978494623656,0.4, ,0.179347826086957,0.132867132867133,0.18732782369146
Never ,57,,37,20, ,18,15,13,9,2, ,5,10,20,12,10, ,6,12,14,15,10, ,0,0,0,0,0, ,1,4,1,13,3,4,1,4,8,3,5,0,1,1,3,11,4,0,7,3,0, ,15,5,5,5,3,1,6,4,9,1,3, ,13,10,13,14,4,2,11,17,12,7,2, ,7,5,46
,6%,,0.0755102040816327,0.0391389432485323, ,0.0642857142857143,0.0543478260869565,0.046594982078853,0.079646017699115,0.0377358490566038, ,0.0387596899224806,0.0444444444444444,0.0766283524904215,0.0568720379146919,0.0571428571428571, ,0.0237154150197628,0.031331592689295,0.053639846743295,0.172413793103448,0.588235294117647, ,0,0,0,0,0, ,0.0833333333333333,0.0380952380952381,0.0416666666666667,0.042483660130719,0.0526315789473684,0.0754716981132075,0.0227272727272727,0.043010752688172,0.296296296296296,0.107142857142857,0.0187265917602996,0,0.0188679245283019,0.0555555555555556,0.0476190476190476,0.10377358490566,0.0714285714285714,0,0.0598290598290598,0.0789473684210526,0, ,0.0561797752808989,0.0793650793650794,0.102040816326531,0.111111111111111,0.0483870967741935,0.0555555555555556,0.0566037735849057,0.0212765957446809,0.0616438356164384,0.0217391304347826,0.272727272727273, ,0.0274261603375527,0.033003300330033,0.0607476635514019,0.0648148148148148,0.0191387559808612,0.0188679245283019,0.0357142857142857,0.0476190476190476,0.0379746835443038,0.0376344086021505,0.2, ,0.0380434782608696,0.034965034965035,0.0633608815426997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Question 4 - How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket, grocery store or off licence, at Christmas time?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1002,,490,512, ,281,276,279,113,53, ,129,225,261,211,176, ,253,384,261,87,17, ,82,269,413,180,57, ,12,105,24,306,57,53,44,93,27,28,267,11,53,18,63,106,56,16,117,38,66, ,268,63,49,45,62,18,106,188,146,46,11, ,474,304,214,216,209,106,308,358,317,186,10, ,184,144,726
,100%,,49%,51%, ,28%,28%,28%,11%,5%, ,13%,22%,26%,21%,18%, ,25%,38%,26%,9%,2%, ,8%,27%,41%,18%,6%, ,1%,7%,2%,20%,4%,3%,3%,6%,2%,2%,17%,1%,3%,1%,4%,7%,4%,1%,8%,2%,4%, ,27%,6%,5%,4%,6%,2%,11%,19%,15%,5%,1%, ,47%,30%,21%,22%,21%,11%,31%,36%,32%,19%,1%, ,18%,14%,72%
"Celebrity endorsements
 - Very impactful ",75,,49,26, ,17,20,23,7,8, ,16,14,27,9,9, ,41,25,8,0,1, ,23,40,9,2,1, ,1,11,0,16,3,1,7,6,1,1,9,1,0,0,13,12,3,5,16,2,0, ,11,5,7,6,8,3,10,12,8,5,0, ,34,28,18,19,24,22,31,33,29,25,0, ,12,8,58
,7%,,10%,5%, ,6%,7%,8%,6%,15%, ,12%,6%,10%,4%,5%, ,0.162055335968379,0.0651041666666667,0.0306513409961686,0,0.0588235294117647, ,0.280487804878049,0.148698884758364,0.0217917675544794,0.0111111111111111,0.0175438596491228, ,0.0833333333333333,0.104761904761905,0,0.0522875816993464,0.0526315789473684,0.0188679245283019,0.159090909090909,0.0645161290322581,0.037037037037037,0.0357142857142857,0.0337078651685393,0.0909090909090909,0,0,0.206349206349206,0.113207547169811,0.0535714285714286,0.3125,0.136752136752137,0.0526315789473684,0, ,0.041044776119403,0.0793650793650794,0.142857142857143,0.133333333333333,0.129032258064516,0.166666666666667,0.0943396226415094,0.0638297872340425,0.0547945205479452,0.108695652173913,0, ,0.0717299578059072,0.0921052631578947,0.0841121495327103,0.087962962962963,0.114832535885167,0.207547169811321,0.100649350649351,0.0921787709497207,0.0914826498422713,0.134408602150538,0, ,0.0652173913043478,0.0555555555555556,0.0798898071625344
"Celebrity endorsements
 - Fairly Impactful",149,,81,68, ,32,42,49,19,7, ,24,35,30,30,30, ,52,65,25,5,2, ,25,78,39,5,2, ,1,17,4,51,7,4,13,9,2,10,34,2,7,1,10,15,5,5,13,7,0, ,33,8,9,5,10,5,17,28,26,8,0, ,75,46,26,26,39,23,61,59,45,29,0, ,28,13,114
